Country,Year,AverageTemperature,Code,Annual nitrous oxide emissions in CO₂ equivalents,Annual methane emissions in CO₂ equivalents,Annual CO₂ emissions
Afghanistan,1850,13.1854270833333,AFG,223008.4,3594926.5,3520884.0
Afghanistan,1851,13.3910729166667,AFG,227659.61,3615134.5,3561188.2
Afghanistan,1852,13.3379479166667,AFG,232190.92,3635346.8,3596619.0
Afghanistan,1853,13.2708333333333,AFG,236528.19,3655563.5,3630340.0
Afghanistan,1854,13.4810416666667,AFG,240597.22,3675785.0,3662827.5
Afghanistan,1855,13.7550625,AFG,244323.86,3696011.0,3694386.8
Afghanistan,1856,13.2390662878788,AFG,247633.88,3716241.2,3725249.8
Afghanistan,1857,12.9113333333333,AFG,250453.17,3736476.5,3755331.2
Afghanistan,1858,13.0243928571429,AFG,252707.52,3756716.2,3784753.2
Afghanistan,1859,13.2760833333333,AFG,254322.78,3776960.5,3813601.0
Afghanistan,1860,13.6447864583333,AFG,255224.75,3797210.0,3858021.0
Afghanistan,1861,15.6974895833333,AFG,255678.39,3818579.0,3895687.0
Afghanistan,1862,9.91516666666667,AFG,256017.73,3839952.5,3926904.5
Afghanistan,1863,13.5233229166667,AFG,256272.16,3861331.0,3956607.0
Afghanistan,1864,13.0076041666667,AFG,256471.06,3882715.2,3985540.5
Afghanistan,1865,13.3123020833333,AFG,256643.88,3904104.5,4013948.5
Afghanistan,1866,13.2518645833333,AFG,256820.0,3925498.8,4041941.2
Afghanistan,1867,13.8317395833333,AFG,257028.8,3946898.5,4069544.0
Afghanistan,1868,13.50478125,AFG,257299.72,3968303.2,4096779.5
Afghanistan,1869,13.5761770833333,AFG,257662.12,3989713.2,4123685.5
Afghanistan,1870,13.63734375,AFG,258145.45,4016096.5,4282764.0
Afghanistan,1871,13.4763854166667,AFG,262466.84,4044778.5,4422264.5
Afghanistan,1872,13.7140208333333,AFG,273315.88,4073461.2,4512497.0
Afghanistan,1873,13.82609375,AFG,289180.66,4102146.0,4579829.0
Afghanistan,1874,13.73790625,AFG,308549.2,4130831.8,4636731.0
Afghanistan,1875,14.0280208333333,AFG,329909.53,4159518.2,4687624.0
Afghanistan,1876,13.3635416666667,AFG,351749.75,4188207.0,4734535.0
Afghanistan,1877,13.50696875,AFG,372557.84,4216896.5,4778649.5
Afghanistan,1878,13.5679166666667,AFG,390821.94,4245587.0,4820553.5
Afghanistan,1879,13.8425,AFG,405030.06,4274280.0,4860662.5
Afghanistan,1880,14.1596666666667,AFG,413670.2,4302973.5,5030281.5
Afghanistan,1881,14.0708958333333,AFG,418571.0,4338869.5,5177256.5
Afghanistan,1882,13.301625,AFG,422675.53,4374776.0,5271788.0
Afghanistan,1883,13.4197604166667,AFG,426143.97,4410691.5,5347938.0
Afghanistan,1884,13.1709375,AFG,429136.4,4446617.0,5414000.0
Afghanistan,1885,12.76415625,AFG,431812.94,4482552.5,5473771.5
Afghanistan,1886,13.0256354166667,AFG,434333.62,4518497.0,5529196.0
Afghanistan,1887,13.49246875,AFG,436858.62,4554451.5,5581322.0
Afghanistan,1888,14.0648541666667,AFG,439547.9,4590416.5,5630823.0
Afghanistan,1889,13.6011770833333,AFG,442561.66,4626392.0,5678101.0
Afghanistan,1890,13.5465833333333,AFG,463038.72,4662377.0,5763643.0
Afghanistan,1891,13.0218854166667,AFG,463822.62,4701321.0,5840477.0
Afghanistan,1892,14.00065625,AFG,464904.88,4740265.5,5896414.0
Afghanistan,1893,13.14553125,AFG,466258.22,4779212.5,5947783.5
Afghanistan,1894,13.2911354166667,AFG,467855.25,4818162.5,5996124.0
Afghanistan,1895,13.8378958333333,AFG,469668.7,4857113.5,6042266.0
Afghanistan,1896,14.01771875,AFG,471671.16,4896068.0,6086563.5
Afghanistan,1897,13.31209375,AFG,473835.28,4935023.5,6129310.0
Afghanistan,1898,13.362375,AFG,476133.75,4973981.0,6170615.5
Afghanistan,1899,14.22609375,AFG,478539.28,5012941.5,6210602.5
Afghanistan,1900,13.6246666666667,AFG,481024.44,5051904.0,6287302.0
Afghanistan,1901,13.67671875,AFG,483832.56,5087837.0,6375567.5
Afghanistan,1902,14.2892395833333,AFG,487170.38,5123855.0,6426802.5
Afghanistan,1903,12.82375,AFG,490955.7,5159858.5,6419706.5
Afghanistan,1904,13.6823854166667,AFG,495106.34,5195950.0,6484742.5
Afghanistan,1905,13.1678958333333,AFG,499540.03,5232079.5,6502720.5
Afghanistan,1906,13.7114791666667,AFG,504174.66,5268248.0,6576110.5
Afghanistan,1907,13.1918229166667,AFG,508927.9,5304456.0,6578968.5
Afghanistan,1908,13.4779375,AFG,513717.75,5340703.5,6643369.5
Afghanistan,1909,13.67321875,AFG,518461.75,5376993.0,6699892.5
Afghanistan,1910,13.0350520833333,AFG,523077.88,5413215.0,6783029.0
Afghanistan,1911,13.3591979166667,AFG,527343.44,5405400.5,6886048.0
Afghanistan,1912,13.7511354166667,AFG,531222.6,5397208.0,6987468.0
Afghanistan,1913,13.6318541666667,AFG,534913.1,5389015.0,7029213.0
Afghanistan,1914,13.970375,AFG,538612.7,5380823.5,7137154.0
Afghanistan,1915,14.7547916666667,AFG,542519.06,5372577.5,7191931.5
Afghanistan,1916,13.332,AFG,546829.9,5364387.0,7142711.5
Afghanistan,1917,13.6981354166667,AFG,551743.0,5356196.0,7194642.5
Afghanistan,1918,13.4573229166667,AFG,557456.06,5348005.0,7217994.5
Afghanistan,1919,13.6667291666667,AFG,564166.8,5339762.0,7262194.5
Afghanistan,1920,12.9956875,AFG,572073.06,5331572.0,7196511.0
Afghanistan,1921,14.1729583333333,AFG,586703.44,5390878.0,7256100.0
Afghanistan,1922,14.0398958333333,AFG,612068.56,5450903.0,7318290.5
Afghanistan,1923,13.2134166666667,AFG,646088.4,5510966.0,7284728.5
Afghanistan,1924,13.39934375,AFG,686683.1,5570959.0,7344878.5
Afghanistan,1925,13.67303125,AFG,731773.06,5630989.5,7376743.5
Afghanistan,1926,13.4856041666667,AFG,779278.2,5691057.5,7411930.0
Afghanistan,1927,13.6117916666667,AFG,827118.9,5751056.0,7421554.0
Afghanistan,1928,13.50484375,AFG,873215.1,5811092.0,7421688.5
Afghanistan,1929,13.3516458333333,AFG,915487.2,5871165.5,7434048.0
Afghanistan,1930,13.1920416666667,AFG,951855.2,5931170.0,7408412.5
Afghanistan,1931,13.3552395833333,AFG,983547.4,5999676.5,7456081.5
Afghanistan,1932,13.7026145833333,AFG,1013462.9,6068192.5,7468258.0
Afghanistan,1933,13.67878125,AFG,1042027.75,6136727.0,7505520.5
Afghanistan,1934,13.2931979166667,AFG,1069668.4,6205227.0,7496116.5
Afghanistan,1935,13.0500104166667,AFG,1096810.5,6273742.0,7520518.5
Afghanistan,1936,13.8722291666667,AFG,1123880.8,6380451.0,7588669.0
Afghanistan,1937,13.5022916666667,AFG,1151305.1,6488007.0,7566550.5
Afghanistan,1938,14.0263854166667,AFG,1179509.8,6596353.0,7647110.0
Afghanistan,1939,13.9597916666667,AFG,1208920.9,6705540.5,7689429.0
Afghanistan,1940,14.4041666666667,AFG,1239964.8,6815567.0,7761854.0
Afghanistan,1941,15.29284375,AFG,1288776.2,6939029.0,7849704.5
Afghanistan,1942,14.2588229166667,AFG,1366716.6,7063490.5,7820331.5
Afghanistan,1943,13.72434375,AFG,1467051.9,7188938.0,7799251.5
Afghanistan,1944,13.9784791666667,AFG,1583047.6,7315423.0,7871713.5
Afghanistan,1945,13.6376041666667,AFG,1707969.6,7436001.5,7857545.5
Afghanistan,1946,14.6390416666667,AFG,1835083.2,7557400.5,7916084.5
Afghanistan,1947,14.9462708333333,AFG,1957654.6,7642970.0,7989083.5
Afghanistan,1948,14.13184375,AFG,2068949.2,7766822.5,8012411.0
Afghanistan,1949,13.45746875,AFG,2162233.2,7899436.5,8003922.0
Afghanistan,1950,12.92275,AFG,2230772.0,8100647.0,8643596.0
Afghanistan,1951,13.8690625,AFG,2291992.8,8233414.0,9395888.0
Afghanistan,1952,14.160375,AFG,2365258.5,8373008.5,9956078.0
Afghanistan,1953,14.5468125,AFG,2446735.5,8528434.0,10602627.0
Afghanistan,1954,13.6309166666667,AFG,2532591.2,8691030.0,11014631.0
Afghanistan,1955,14.3596666666667,AFG,2618992.2,8897458.0,11698285.0
Afghanistan,1956,14.0569583333333,AFG,2702105.8,9110544.0,12241412.0
Afghanistan,1957,12.6075729166667,AFG,2778099.0,9416550.0,12841319.0
Afghanistan,1958,14.5340104166667,AFG,2843138.5,9649498.0,13589812.0
Afghanistan,1959,13.9810416666667,AFG,2893391.8,9890016.0,14000594.0
Afghanistan,1960,13.9393645833333,AFG,2925025.8,10136927.0,13894669.0
Afghanistan,1961,13.81721875,AFG,2917273.5,9611760.0,12260702.0
Afghanistan,1962,13.61515625,AFG,2891160.8,9902082.0,11548641.0
Afghanistan,1963,14.69534375,AFG,2941533.2,10253045.0,11416621.0
Afghanistan,1964,13.0624791666667,AFG,3004207.0,10526705.0,10244638.0
Afghanistan,1965,13.6835833333333,AFG,3075739.0,10853354.0,10428343.0
Afghanistan,1966,14.04775,AFG,3153751.8,11273806.0,10749866.0
Afghanistan,1967,13.41471875,AFG,3236032.0,11616169.0,9763244.0
Afghanistan,1968,13.47184375,AFG,3380589.2,11906710.0,9160275.0
Afghanistan,1969,13.8155208333333,AFG,3368802.8,11486028.0,8426625.0
Afghanistan,1970,14.66734375,AFG,3388171.2,11689019.0,8947859.0
Afghanistan,1971,14.6438541666667,AFG,3352989.2,11668984.0,8606137.0
Afghanistan,1972,12.7014479166667,AFG,2613982.8,10276471.0,7706629.5
Afghanistan,1973,14.02175,AFG,2895428.5,10641130.0,7344405.5
Afghanistan,1974,13.3144479166667,AFG,3150644.5,11243796.0,7121943.5
Afghanistan,1975,13.28221875,AFG,3416218.5,11848226.0,6956935.0
